group;time;replicate;fr;hci
Treatment;0to1;1;3372140.13;86.64
Host control;0to1;1;1417505.59;36.42
Treatment;0to1;2;163345.69;543.12
Host control;0to1;2;165007.69;548.65
Treatment;0to1;3;NA;NA
Host control;0to1;3;NA;NA
Treatment;1to2;1;4759857.03;NA
Host control;1to2;1;2000843.29;NA
Treatment;1to2;2;NA;NA
Host control;1to2;2;NA;NA
Treatment;1to2;3;3318513.25;38.65
Host control;1to2;3;3677064.86;42.83
Treatment;2to3;1;NA;38.43
Host control;2to3;1;NA;16.15
Treatment;2to3;2;4591508.95;108.17
Host control;2to3;2;4638226.23;109.27
Treatment;2to3;3;1972827.66;NA
Host control;2to3;3;2185983.51;NA
