group;time;replicate;particles;carbon
Treatment;0;1;13706;0.344029814
Host control;0;1;16075;0.342800768
Artifact control;0;1;8491;0.303682614
Treatment;0;2;15482;0.736518099
Host control;0;2;15506;0.431783649
Artifact control;0;2;17117;0.41250248
Treatment;0;3;13376;0.472350595
Host control;0;3;17136;0.412613062
Artifact control;0;3;11098;0.5758706
Treatment;1;1;13208;0.375318512
Host control;1;1;13203;0.416591576
Artifact control;1;1;9586;0.376957978
Treatment;1;2;12386;0.298665159
Host control;1;2;12050;0.388010488
Artifact control;1;2;13786;0.338995054
Treatment;1;3;11167;0.410361517
Host control;1;3;16292;0.601946688
Artifact control;1;3;8908;0.425520565
Treatment;2;1;10191;0.370185312
Host control;2;1;7821;0.2437678
Artifact control;2;1;11564;0.280811201
Treatment;2;2;10136;0.440093973
Host control;2;2;10723;0.251745641
Artifact control;2;2;10612;0.359307242
Treatment;2;3;8261;0.2433576
Host control;2;3;12636;0.317495773
Artifact control;2;3;9650;0.290563538
Treatment;3;1;9453;0.335719256
Host control;3;1;4254;0.266949692
Artifact control;3;1;9190;0.302397451
Treatment;3;2;8927;0.357753163
Host control;3;2;6905;0.270737546
Artifact control;3;2;16434;0.445439284
Treatment;3;3;7596;0.362676509
Host control;3;3;10307;0.352671955
Artifact control;3;3;12468;0.289749596
