group;time;particles;sd;se;ci;carbon;sdc;sec;cic
Artifact control;0;12235.33333;4424.038238;2554.219668;5006.178557;0.430685231;0.13700195;0.079098113;0.155029452
Artifact control;1;10760;2642.428429;1525.606765;2990.134313;0.380491199;0.043370828;0.025040159;0.04907781
Artifact control;2;10608.66667;957.0043539;552.5267213;1082.932474;0.310227327;0.042783239;0.024700915;0.048412903
Artifact control;3;12697.33333;3627.441155;2094.304127;4104.760662;0.34586211;0.086467926;0.04992228;0.097845871
Host control;0;16239;827.282902;477.6320062;936.14153;0.395732493;0.046831651;0.027038266;0.052994028
Host control;1;13848.33333;2193.395161;1266.357287;2482.014674;0.468849584;0.116147962;0.067058057;0.131431376
Host control;2;10393.33333;2424.369265;1399.710248;2743.381674;0.271003071;0.040460968;0.023360151;0.045785055
Host control;3;7155.333333;3034.254823;1751.827839;3433.519472;0.296786398;0.048435355;0.027964165;0.054808756
Treatment;0;14188;1132.718853;653.9755347;1281.768495;0.517632836;0.200124023;0.115541658;0.226457489
Treatment;1;12253.66667;1026.914959;592.8896281;1162.042318;0.361448396;0.057125338;0.032981329;0.064642217
Treatment;2;9529.333333;1098.753081;634.3653872;1243.333312;0.351212295;0.099731046;0.057579746;0.112854229
Treatment;3;8658.666667;957.1386176;552.6042385;1083.084405;0.352049643;0.014355172;0.008287963;0.016244108
